 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/product-builder.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/admin-dashboard-planos.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/checkout-plan.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/payment-verification.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/members-area-netflix.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/members-area.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/admin-dashboard.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/push-simple.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/admin-push-simple.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/push-demo.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/admin-push.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/push-admin.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/hooks/useSidebar.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/hooks/useTheme.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/button.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/card.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/badge.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /@fs/home/runner/workspace/node_modules/.vite/deps/lucide-react.js
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/input.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/label.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/tabs.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/checkbox.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/hooks/use-toast.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/tutorial-tour.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/QuizFullPreview.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/lib/utils.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/stats-card.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/hooks/useLanguage.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/alert-dialog.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/select.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /@fs/home/runner/workspace/node_modules/.vite/deps/date-fns.js
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /@fs/home/runner/workspace/node_modules/.vite/deps/date-fns_locale.js
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/textarea.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/page-editor-horizontal.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/quiz-preview.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/quiz-flow-editor.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/lib/authUtils.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/dialog.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/switch.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/separator.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/avatar.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/table.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/quiz-public-renderer.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/utils/pixelCodeGenerator.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/utils/antiWebViewGenerator.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/alert.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/progress.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/variable-helper-unified.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ultra-personalized-campaign-modal.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/campaign-style-selector.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/SMSCampaignModal.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/whatsapp-method-selector.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /@fs/home/runner/workspace/node_modules/.vite/deps/react-icons_si.js
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ConditionalCampaignBuilder.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/calendar.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/popover.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/lib/stripe-currencies.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /@fs/home/runner/workspace/node_modules/.vite/deps/@stripe_react-stripe-js.js
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/pages/checkout-subscription.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/GatewaySelector.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/utils/currency.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/sidebar.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/components/ui/toast.tsx
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /src/hooks/useAuth.ts
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /@fs/home/runner/workspace/node_modules/.vite/deps/@stripe_stripe-js.js
🚨 RATE LIMIT EXCEEDED: 127.0.0.1 - GET /sw.js
